street_address,count_ucr
600_W_Jefferson_St,1820
600_Dr_Martin_Luther_King_Pl,20
1500_Frankfort_Ave,9
400_E_Muhammad_Ali_Blvd,8
100_N_4th_St,6
400_S_6th_St,6
700_Baroness_Ave,5
100_W_Broadway,4
5300_W_Pages_Ln,4
1500_Frankfort_Avenue,4
2200_Date_St,4
400_S_4th_St,4
9700_Buckingham_Dr,3
600_E_Jefferson_St,3
4300_Shasta_Trl,3
700_E_Muhammad_Ali_Blvd,3
500_S_Jackson_St,3
200_S_5th_St,3
1300_S_28th_St,3
900_W_Jefferson_St,3
700_E_Broadway,2
7400_St_Andrews_Church_Rd,2
800_Barret_Ave,2
600_W_Broadway,2
800_Flicker_Rd,2
500_W_Broadway,2
100_E_Jefferson_St,2
500_S_5th_St,2
500_S_3rd_St,2
500_E_Liberty_St,2
4900_Monaco_Dr,2
100_E_Market_St,2
400_S_5th_St,2
3600_Chamberlain_Ln,2
3500_Taylor_Blvd,2
3300_Renwood_Blvd,2
300_S_1st_St,2
200_W_Broadway,2
1700_Prentice_St,2
1200_Glengarry_Dr,2
400_W_Broadway,2
